timestamp_iso,timestamp_unix,type,severity,metric_name,value,unit,deviation_std,is_anomaly,message,block_number,tx_hash,details
2026-01-22T17:27:20Z,1769102840,BASELINE_SAMPLE,info,block_gas_used,8230648,gas,0,False,Block 6305829 - 29 txs,6305829,,synthetic=0.0%
2026-01-22T17:27:22Z,1769102842,BASELINE_SAMPLE,info,block_gas_used,10885325,gas,0,False,Block 6305831 - 33 txs,6305831,,synthetic=0.0%
2026-01-22T17:27:24Z,1769102844,BASELINE_SAMPLE,info,block_gas_used,7911110,gas,0,False,Block 6305833 - 34 txs,6305833,,synthetic=0.0%
2026-01-22T17:27:26Z,1769102846,BASELINE_SAMPLE,info,block_gas_used,7698529,gas,0,False,Block 6305835 - 29 txs,6305835,,synthetic=0.0%
2026-01-22T17:27:28Z,1769102848,BASELINE_SAMPLE,info,block_gas_used,7555224,gas,0,False,Block 6305837 - 29 txs,6305837,,synthetic=0.0%
2026-01-22T17:27:30Z,1769102850,BASELINE_SAMPLE,info,block_gas_used,8065285,gas,0,False,Block 6305839 - 34 txs,6305839,,synthetic=0.0%
2026-01-22T17:27:32Z,1769102852,BASELINE_SAMPLE,info,block_gas_used,7246601,gas,0,False,Block 6305841 - 26 txs,6305841,,synthetic=0.0%
2026-01-22T17:27:35Z,1769102855,BASELINE_SAMPLE,info,block_gas_used,7414816,gas,0,False,Block 6305843 - 25 txs,6305843,,synthetic=0.0%
2026-01-22T17:27:37Z,1769102857,BASELINE_SAMPLE,info,block_gas_used,7755707,gas,0,False,Block 6305846 - 28 txs,6305846,,synthetic=0.0%
2026-01-22T17:27:39Z,1769102859,BASELINE_SAMPLE,info,block_gas_used,10010734,gas,0,False,Block 6305848 - 33 txs,6305848,,synthetic=0.0%
2026-01-22T17:27:41Z,1769102861,BASELINE_SAMPLE,info,block_gas_used,7742827,gas,0,False,Block 6305850 - 31 txs,6305850,,synthetic=0.0%
2026-01-22T17:27:43Z,1769102863,BASELINE_SAMPLE,info,block_gas_used,7755036,gas,0,False,Block 6305852 - 31 txs,6305852,,synthetic=0.0%
2026-01-22T17:27:45Z,1769102865,BASELINE_SAMPLE,info,block_gas_used,9480750,gas,0,False,Block 6305854 - 37 txs,6305854,,synthetic=0.0%
2026-01-22T17:27:47Z,1769102867,BASELINE_SAMPLE,info,block_gas_used,13821292,gas,0,False,Block 6305856 - 35 txs,6305856,,synthetic=0.0%
2026-01-22T17:27:49Z,1769102869,BASELINE_SAMPLE,info,block_gas_used,7783948,gas,0,False,Block 6305858 - 29 txs,6305858,,synthetic=0.0%
2026-01-22T17:42:19Z,1769103739,LATENCY_SPIKE,info,tx_latency,1000,ms,17.2,True,Latency 1000ms (18x worse than 55ms claim),,0x4c2c2a4f5866c7c7557a0d889e5ec6652c02236432256ad9516c78ff3dad4f37,player=0xa01741344cf91b89245bd1d078f1d92f3c484d2b
2026-01-22T17:42:19Z,1769103739,LATENCY_SPIKE,info,tx_latency,1000,ms,17.2,True,Latency 1000ms (18x worse than 55ms claim),,0xd54cbc24ba8772e52a0d6e9658eaab050f1fe80abed41ec909eb3329e53dbfc2,player=0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
2026-01-22T17:42:19Z,1769103739,LATENCY_SPIKE,warning,tx_latency,2000,ms,35.4,True,Latency 2000ms (36x worse than 55ms claim),,0xcd32649f39c8fa92fe74f0b523586e4ee002fdfe52973ee1cc039c5ad8991f06,player=0x742f8d099a58cb0eaebc34e2c099a0f813f69171
2026-01-22T17:42:19Z,1769103739,LATENCY_SPIKE,info,tx_latency,1000,ms,17.2,True,Latency 1000ms (18x worse than 55ms claim),,0xd2a010d403a3f573bd6059839964fc323b44a3eeaa07591d818bf2865253d4de,player=0x742f8d099a58cb0eaebc34e2c099a0f813f69171
2026-01-22T17:42:19Z,1769103739,LATENCY_SPIKE,info,tx_latency,1000,ms,17.2,True,Latency 1000ms (18x worse than 55ms claim),,0x39068808cf2b9a60eb34feb1f9f39c259208e3b919b02291128ec789de729906,player=0xa01741344cf91b89245bd1d078f1d92f3c484d2b
2026-01-22T17:42:19Z,1769103739,LATENCY_SPIKE,info,tx_latency,1000,ms,17.2,True,Latency 1000ms (18x worse than 55ms claim),,0xae7f8eb7ba126df40e4c07b5967e4ce824befec937f8c4ef5be9433b00395958,player=0x0fc9cc3b4e80f79dbbffbf6ee406555c6cf5c910
2026-01-22T17:42:19Z,1769103739,LATENCY_SPIKE,info,tx_latency,1000,ms,17.2,True,Latency 1000ms (18x worse than 55ms claim),,0xb1e9bf44c119dde2e03f3b90943cfe7a1f1ba6ab1098c5f52f8aa7d77acd4e84,player=0xe7e512e2afbecd4d7d48ba11d1477d672880d22f
2026-01-22T17:42:31Z,1769103751,LATENCY_SPIKE,info,tx_latency,1000,ms,17.2,True,Latency 1000ms (18x worse than 55ms claim),,0x9c31151a8434eb0022c15b9667b9b97ad2d686ad2e04c58a53fe99a98c10668f,player=0xa01741344cf91b89245bd1d078f1d92f3c484d2b
2026-01-22T17:42:31Z,1769103751,LATENCY_SPIKE,info,tx_latency,1000,ms,17.2,True,Latency 1000ms (18x worse than 55ms claim),,0xa1ad1cf085ae7e1922eafd883eb28d91e972a34b6fe5afdcd3730f4beadc453d,player=0x742f8d099a58cb0eaebc34e2c099a0f813f69171
