date,avg_gas_mgas,min_gas_mgas,max_gas_mgas,avg_tps,min_tps,sample_count
2026-01-22,574.4,6.7,2734.1,53.0,0.0,864
2026-01-23,1746.6,609.5,1940.6,160.0,60.0,863
2026-01-24,1876.0,1139.6,2085.3,181.0,60.0,863
2026-01-25,2050.5,1750.5,2083.1,211.0,180.0,864
2026-01-26,2053.0,2043.4,2076.4,211.0,209.0,864
2026-01-27,2054.8,1457.0,2070.3,211.0,148.0,864
2026-01-28,2056.5,1973.7,2068.4,211.0,201.0,75
